epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.0721440115307959,0.9024064745986253,0.5800302841364567,0.6612041325258283
2,0.7817802054380664,0.7523128400716995,0.7109646388171372,0.7285358033487709
3,0.6449203961751568,0.6197041271418322,0.7648525875122473,0.7752048450302814
4,0.569237600637372,0.5691607649911541,0.7973634987084707,0.8037050231563947
5,0.5070555837589518,0.5606562696107987,0.817938897301149,0.8097613110081938
