model,train_accuracy,validation_accuracy,test_accuracy,precision,recall,f1_score,training_time,training_time_seconds
model1_lenet_like,0.817938897301149,0.8097613110081938,0.8106666666666666,0.8166472971585981,0.8106666666666666,0.8106417739436114,00:12:26,746.6807449999978
model2_improved_cnn,0.7228110804311035,0.7737798361239758,0.787,0.7960079642156094,0.787,0.786930104741635,00:11:39,699.9740221999964
model3_transfer,0.8105460051661174,0.7926612041325258,0.7886666666666666,0.7906418060282688,0.7886666666666666,0.7887622815758547,00:09:02,542.4811867000026
hybrid_logistic_regression,0.8918678186514652,0.834698966868543,0.8236666666666667,0.8234887352985639,0.8236666666666667,0.8235300903377287,00:01:12,72.72984719999658
